id;name;titel;familie;geburtsdatum;geburtsdatum_unsicher;sterbedatum;sterbedatum_unsicher;ehepartner_id;ehepartner_id_unsicher;vater_id;vater_id_unsicher;mutter_id;mutter_id_unsicher;anmerkung;unsicherheit_anmerkung;hrr_status;herrschaft_von;herrschaft_bis
maria_anna_von_spanien_1606;Maria Anna von Spanien;Röm.-dt. Kaiserin, Königin von Ungarn und Böhmen (durch Heirat);spanische_habsburger;1606;nein;1646;nein;ferdinand_iii;nein;;;;;"Erste Ehefrau Ferdinands III. (Heirat 1631); Tochter König Philipps III. von Spanien. Mutter Leopolds I. Starb an einer vermuteten Schwangerschaftsvergiftung.";;kaiserin_heirat;;
ferdinand_iii;Ferdinand III.;König von Ungarn (ab 1625) und Böhmen (ab 1627), Kaiser des Hl. Römischen Reichs (ab 1637);habsburg;13. Juli 1608;nein;2. April 1657;nein;maria_anna_von_spanien_1606|maria_leopoldine_von_tirol|eleonore_gonzaga_nevers_1630;nein;ferdinand_ii;nein;maria_anna_von_bayern_1574;nein;Dreimal verheiratet: 1631 mit Maria Anna von Spanien, 1648 mit Maria Leopoldine von Tirol und 1651 mit Eleonore Gonzaga-Nevers. Leopold I. stammte aus der ersten Ehe.;;kaiser;1637;1657
eleonore_gonzaga_nevers_1630;Eleonore Gonzaga-Nevers („die Jüngere“);Röm.-dt. Kaiserin, Königin von Ungarn und Böhmen (durch Heirat);gonzaga_nevers;18. November 1630;nein;6. Dezember 1686;nein;ferdinand_iii;nein;;;;;"Dritte Ehefrau Ferdinands III. (Heirat 1651); nicht zu verwechseln mit Eleonore Gonzaga „der Älteren“, der zweiten Ehefrau Ferdinands II.";;kaiserin_heirat;;
maria_leopoldine_von_tirol;Maria Leopoldine von Österreich-Tirol;Röm.-dt. Kaiserin, Königin von Ungarn und Böhmen (durch Heirat);habsburg_tirol;6. April 1632;nein;7. August 1649;nein;ferdinand_iii;nein;;;;;"Zweite Ehefrau Ferdinands III. (Heirat 1648); starb nach der Geburt ihres einzigen Sohnes Karl Joseph.";;kaiserin_heirat;;
leopold_i;Leopold I. (Kaiser);König von Ungarn (ab 1655) und Böhmen (ab 1656), Kaiser des Hl. Römischen Reichs (ab 1658);habsburg;9. Juni 1640;nein;5. Mai 1705;nein;margareta_theresia_von_spanien|claudia_felicitas_von_tirol|eleonore_magdalene_pfalz_neuburg;nein;ferdinand_iii;nein;maria_anna_von_spanien_1606;nein;Dreimal verheiratet: mit Margareta Theresia von Spanien, Claudia Felicitas von Tirol und Eleonore Magdalene von Pfalz-Neuburg. Joseph I. und Karl VI. stammten aus der dritten Ehe.;;kaiser;1658;1705
margareta_theresia_von_spanien;Margareta Theresia von Spanien;Röm.-dt. Kaiserin, Königin von Ungarn und Böhmen (durch Heirat);spanische_habsburger;12. Juli 1651;nein;12. März 1673;nein;leopold_i;nein;;;;;"Erste Ehefrau Leopolds I. (Heirat 1666); die Ehe hatte nur eine das Kindesalter überlebende Tochter, Maria Antonia.";;kaiserin_heirat;;
claudia_felicitas_von_tirol;Claudia Felicitas von Österreich-Tirol;Röm.-dt. Kaiserin, Königin von Ungarn und Böhmen (durch Heirat);habsburg_tirol;30. Mai 1653;nein;8. April 1676;nein;leopold_i;nein;;;;;"Zweite Ehefrau Leopolds I. (Heirat 1673); beide Töchter starben im Kleinkindalter.";;kaiserin_heirat;;
eleonore_magdalene_pfalz_neuburg;Eleonore Magdalene von Pfalz-Neuburg;Röm.-dt. Kaiserin (durch Heirat);pfalz_neuburg;6. Januar 1655;nein;19. Januar 1720;nein;leopold_i;nein;;;;;"Dritte Ehefrau Leopolds I. (Heirat 1676); Tochter des Kurfürsten Philipp Wilhelm von Pfalz-Neuburg. Mutter Josephs I. und Karls VI.";;kaiserin_heirat;;
wilhelmine_amalie_von_braunschweig;Wilhelmine Amalie von Braunschweig-Lüneburg;Römisch-deutsche Kaiserin (durch Heirat);welf;21. April 1673;nein;10. April 1742;nein;joseph_i;nein;;;;;"Gemahlin Josephs I.; Mutter Maria Josephas und Maria Amalias.";;kaiserin_heirat;;
joseph_i;Joseph I.;Kaiser des Hl. Römischen Reichs (1705–1711);habsburg;26. Juli 1678;nein;17. April 1711;nein;wilhelmine_amalie_von_braunschweig;nein;leopold_i;nein;eleonore_magdalene_pfalz_neuburg;nein;"Älterer Sohn Leopolds I.; älterer Bruder Karls VI.";;kaiser;1705;1711
karl_vi;Karl VI.;König von Ungarn und Böhmen, Kaiser des Hl. Römischen Reichs (ab 1711);habsburg;1. Oktober 1685;nein;20. Oktober 1740;nein;elisabeth_christine_braunschweig;nein;leopold_i;nein;eleonore_magdalene_pfalz_neuburg;nein;Letzter Habsburger im Mannesstamm. Ermöglichte durch die Pragmatische Sanktion (1713) die Nachfolge seiner Tochter Maria Theresia.;;kaiser;1711;1740
elisabeth_christine_braunschweig;Elisabeth Christine von Braunschweig-Wolfenbüttel;Röm.-dt. Kaiserin (durch Heirat);braunschweig_wolfenbuettel;28. August 1691;nein;21. Dezember 1750;nein;karl_vi;nein;;;;;"Gemahlin Karls VI. (Heirat 1708); Tochter Herzog Ludwig Rudolfs von Braunschweig-Wolfenbüttel. Mutter Maria Theresias.";;kaiserin_heirat;;
franz_stephan_von_lothringen;Franz I. Stephan von Lothringen;Herzog von Lothringen (bis 1736), Großherzog der Toskana (ab 1737), röm.-dt. Kaiser (ab 1745);lothringen;8. Dezember 1708;nein;18. August 1765;nein;maria_theresia;nein;;;;;Gemahlin Maria Theresias (Heirat 1736), mit ihr Begründer des Hauses Habsburg-Lothringen. Vater Josephs II. Tauschte Lothringen gegen die Toskana.;;kaiser;1745;1765
maria_theresia;Maria Theresia;"Erzherzogin von Österreich, Königin von Ungarn und Böhmen (aus eigenem Recht, ab 1740); röm.-dt. Kaiserin (durch Heirat)";habsburg;13. Mai 1717;nein;29. November 1780;nein;franz_stephan_von_lothringen;nein;karl_vi;nein;elisabeth_christine_braunschweig;nein;Alleinerbin Karls VI. auf Basis der Pragmatischen Sanktion. Mutter Josephs II. Begründerin (mit Franz Stephan) des Hauses Habsburg-Lothringen.;;kaiserin_heirat;;
maria_josepha_von_bayern_1739;Maria Josepha von Bayern;Röm.-dt. Kaiserin (durch Heirat);wittelsbach;20. März 1739;nein;28. Mai 1767;nein;joseph_ii;nein;;;;;"Zweite Ehefrau Josephs II. (Heirat 1765); die Ehe blieb kinderlos.";;kaiserin_heirat;;
isabella_von_bourbon_parma;Isabella von Bourbon-Parma;Erzherzogin von Österreich (durch Heirat);bourbon_parma;31. Dezember 1741;nein;27. November 1763;nein;joseph_ii;nein;;;;;"Erste Ehefrau Josephs II. (Heirat 1760); zwei Töchter, von denen keine das Erwachsenenalter erreichte.";;keiner;;
joseph_ii;Joseph II.;Röm.-dt. Kaiser (ab 1765 Mitregent, ab 1780 Alleinherrscher);habsburg_lothringen;13. März 1741;nein;20. Februar 1790;nein;isabella_von_bourbon_parma|maria_josepha_von_bayern_1739;nein;franz_stephan_von_lothringen;nein;maria_theresia;nein;"Ältester Sohn Maria Theresias und Franz Stephans, Vertreter des aufgeklärten Absolutismus. Er war mit Isabella von Bourbon-Parma und Maria Josepha von Bayern verheiratet; keine seiner Töchter erreichte das Erwachsenenalter.";;kaiser;1765;1790
